bu_code,BU_NAAM,Uitkomst_gecheckt,Uitkomst_SA
BU01640000,Binnenstad-Centrum,,
BU01640001,Binnenstad-West,,
BU01640002,Binnenstad-Oost,,
BU01640100,Hengelose Es-Noord,,
BU01640101,Tichelwerk,,
BU01640102,t Wilbert,,
BU01640103,Bedrijventerrein Timmersveld,,
BU01640200,Noord,,
BU01640201,Elsbeek,,
BU01640202,De Noork,,
BU01640203,Klein Driene,,
BU01640204,t Rot,,
BU01640300,Bovenhoek,,
BU01640301,Schothorsthoek,,
BU01640302,Bartelinkshoek,,
BU01640303,Tijertshoek,,
BU01640304,Sogtoenhoek,,
BU01640305,Bruninkshoek,,
BU01640306,Middelhoek,,
BU01640307,Molendijkhoek,,
BU01640308,Weijinkshoek,,
BU01640309,Oosterveld,,
BU01640400,Zwavertshoek,,
BU01640401,Anninks-/Nijhofshoek,,
BU01640402,Groot Driene-Zuid,,
BU01640403,Groot Driene-Noord,,
BU01640500,Bedrijventerrein Twentekanaal-Zuid II,,
BU01640501,Berflo Es Noord,,
BU01640502,Berflo Es Zuid,,
BU01640503,Bedrijventerrein Twentekanaal-Noord II,,
BU01640504,Veldwijk-Noord,,
BU01640505,Veldwijk-Zuid,,
BU01640506,Boeldershoek,,
BU01640600,Bedrijventerrein Twentekanaal-Zuid I,,
BU01640601,Tuindorp t Lansink,,
BU01640602,Tuindorp-Zuid,,
BU01640603,Bedrijventerrein Twentekanaal-Noord I,,
BU01640604,Nijverheid,,
BU01640605,Vikkerhoek,,
BU01640606,Bedrijventerrein Zeggershoek,,
BU01640700,Bedrijventerrein Westermaat-Zuidwest,,
BU01640701,Woolde,,
BU01640702,Woolder Es,,
BU01640703,Weidedorp,,
BU01640704,Bedrijvenpark Westermaat-Zuidoost,,
BU01640705,Bedrijventerrein Westermaat-Noordoost,,
BU01640706,Bedrijventerrein Westermaat-Noordwest,,
BU01640800,Roershoek,,
BU01640801,Vossenbelt-Zuid,,
BU01640802,Vossenbelt-Noord,,
BU01640803,Het Broek,,
BU01640804,Kristenbos,,
BU01640805,Dalmeden,,
BU01640900,Beckum kern,,
BU01640901,Verspreide huizen Slangenbeek,,
BU01640902,Stadspark Weusthag-Noord,,
BU01640903,Stadspark Weusthag-Zuid,,
BU01640904,Verspreide huizen Driene,,
BU01640905,Verspreide huizen Twekkelo,,
BU01640906,Verspreide huizen Oele,,
BU01640907,Verspreide huizen Woolde,,
BU01640909,Verspreide huizen Beckum,,
